Order ID,Order Date,Customer,City,Region,Product,Category,Quantity,Unit Price,Sales,Cost,Profit,Status
ORD10030,2025-01-02,Priya Patel,Patna,East,Smartphone,Electronics,3,25677.8,77033.4,59253.77,17779.63,Delivered
ORD10048,2025-01-04,Riya Kapoor,Surat,West,Sunglasses,Accessories,3,2155.69,6467.07,4314.48,2152.59,Shipped
ORD10063,2025-01-08,Anjali Rao,Chennai,South,Keyboard,Electronics,5,1443.99,7219.95,4955.57,2264.38,Delivered
ORD10014,2025-01-10,Riya Kapoor,Nagpur,Central,Laptop,Electronics,1,57360.04,57360.04,46061.32,11298.72,Processing
ORD10058,2025-01-15,Arjun Nair,Raipur,Central,Watch,Accessories,4,5175.48,20701.92,13654.29,7047.63,Processing
ORD10068,2025-01-17,Anjali Rao,Ranchi,East,Backpack,Fashion,2,1761.86,3523.72,2452.98,1070.74,Delivered
ORD10142,2025-01-19,Vikas Gupta,Raipur,Central,Desk,Furniture,2,11743.33,23486.66,15247.05,8239.61,Shipped
ORD10055,2025-01-22,Manish Gupta,Bengaluru,South,Office Chair,Furniture,3,8527.83,25583.49,15408.36,10175.13,Delivered
ORD10140,2025-01-23,Rohan Mehta,Ahmedabad,West,Wallet,Accessories,3,1205.52,3616.56,2371.84,1244.72,Delivered
ORD10096,2025-01-24,Rohan Mehta,Kolkata,East,Wallet,Accessories,1,1176.52,1176.52,797.04,379.48,Delivered
ORD10132,2025-01-27,Vikas Gupta,Indore,Central,Office Chair,Furniture,4,8818.0,35272.0,26567.22,8704.78,Delivered
ORD10075,2025-01-28,Kavita Mehta,Raipur,Central,Desk,Furniture,2,12022.13,24044.26,14649.93,9394.33,Delivered
ORD10102,2025-02-02,Tanvi Joshi,Kolkata,East,Headphones,Electronics,4,2487.07,9948.28,7269.06,2679.22,Delivered
ORD10150,2025-02-03,Dev Patel,Hyderabad,South,Desk,Furniture,5,12050.61,60253.05,46209.17,14043.88,Delivered
ORD10038,2025-02-05,Kavita Mehta,Chandigarh,North,Sunglasses,Accessories,3,2227.09,6681.27,4543.33,2137.94,Delivered
ORD10084,2025-02-05,Simran Kaur,Kolkata,East,Sunglasses,Accessories,2,2228.86,4457.72,2894.64,1563.08,Delivered
ORD10006,2025-02-05,Dev Patel,Indore,Central,Monitor,Electronics,1,12193.52,12193.52,9611.29,2582.23,Delivered
ORD10052,2025-02-05,Varun Shah,Chennai,South,Laptop,Electronics,1,56398.28,56398.28,45848.74,10549.54,Delivered
ORD10065,2025-02-07,Riya Kapoor,Surat,West,Desk,Furniture,5,12155.33,60776.65,39789.89,20986.76,Cancelled
ORD10128,2025-02-09,Rohan Mehta,Jaipur,North,Keyboard,Electronics,3,1551.66,4654.98,3231.3,1423.68,Delivered
ORD10025,2025-02-11,Simran Kaur,Delhi,North,Watch,Accessories,4,5078.69,20314.76,11216.86,9097.9,Delivered
ORD10074,2025-02-15,Sahil Khan,Bhopal,Central,Desk,Furniture,3,11702.88,35108.64,26278.36,8830.28,Delivered
